name,price,millage,link
2018 Toyota 4Runner SR5 4WD,36591,60904,https://www.cars.com/vehicledetail/d82fc1ed-d97a-4eef-8a4c-cd7678eb0e42/
2018 Toyota 4Runner SR5 Premium,38500,73015,https://www.cars.com/vehicledetail/3b34781d-225b-4f50-818c-ac09efb8e284/
2018 Toyota 4Runner Limited,44000,27522,https://www.cars.com/vehicledetail/6303039d-804d-4a39-8875-fae0a7b85064/
2018 Toyota 4Runner Sport,41236,42059,https://www.cars.com/vehicledetail/a307bf7b-16bc-4a8a-9c15-eda4b63c23d8/
2018 Toyota 4Runner Limited,43998,44942,https://www.cars.com/vehicledetail/d11c1c9c-14fc-4189-b0fe-beffe5877199/
2018 Toyota 4Runner Limited,39999,43753,https://www.cars.com/vehicledetail/bf67dd2f-d15a-4653-9530-1cd187eeebd8/
2018 Toyota 4Runner Limited,39877,45233,https://www.cars.com/vehicledetail/02306b9e-f656-4cbe-ad87-a40f605fec5d/
2018 Toyota 4Runner SR5 Premium,39995,44188,https://www.cars.com/vehicledetail/97863ee0-d0d4-4477-b99b-bfb1515f9226/
2018 Toyota 4Runner Limited,43494,35200,https://www.cars.com/vehicledetail/5ccade19-3d2a-47fd-831e-609f668eb61c/
2018 Toyota 4Runner Limited,36152,74678,https://www.cars.com/vehicledetail/c699cf6d-a4e9-4431-ad25-65fd6e2703f5/
2018 Toyota 4Runner TRD PRO-CUSTOM MATTE GRAY+LIFTED+MODIFIED,57990,37896,https://www.cars.com/vehicledetail/e45262e2-6ce9-4b23-8d20-f333743b5243/
2018 Toyota 4Runner Limited,45583,18519,https://www.cars.com/vehicledetail/19d46457-7e3e-4b36-a05e-10f0615dddb8/
2018 Toyota 4Runner TRD Off Road Premium,44990,43000,https://www.cars.com/vehicledetail/2e9303c7-d885-4d6a-acb9-60bd694fb9da/
2018 Toyota 4Runner SR5,37995,83186,https://www.cars.com/vehicledetail/ef1a8692-4f32-4a49-84d0-98b57cf73890/
2018 Toyota 4Runner Limited,45015,38764,https://www.cars.com/vehicledetail/54d34dbd-f1a2-4554-8206-e046886cbd0c/
2018 Toyota 4Runner TRD Off Road Premium,43965,28629,https://www.cars.com/vehicledetail/6a4c6188-7876-46b9-acc2-f03d741c55e2/
2018 Toyota 4Runner ,39104,42881,https://www.cars.com/vehicledetail/6a59b0f0-21f1-4527-b1df-376b622344ab/
2018 Toyota 4Runner Limited,44981,44906,https://www.cars.com/vehicledetail/880d9ea8-9ccb-41af-8d2a-c6a4d3812225/
2018 Toyota 4Runner Sport,38488,65207,https://www.cars.com/vehicledetail/23a4641d-e89d-40ae-a478-795d6c457139/
